name,item_num,rating,price
Ruffwear Stumptown Insulated Dog Jacket ,Item #139948,4.4, $39.83
NEMO Aurora 3P Tent with Footprint,Item #233421,0.0, $269.73
Rumpl Original Puffy Blanket,Item #234441,0.0, $84.73
GSI Outdoors MicroLite 500 Flip Vacuum Water Bottle - 17 fl. oz.,Item #232076,0.0, $19.73
Gregory Deva 60 Pack - Women's,Item #215733,4.6, $199.73
NEMO Moonlite Reclining Camp Chair,Item #220892,4.4, $119.73
Komperdell Alpinist Powerlock Foam Trekking Poles - Pair,Item #213004,3.2, $56.73
Osprey BioForm4 Shoulder Straps - Men's,Item #846421,0.0, $11.93
Big Agnes Torchlight Camp 20 Sleeping Bag - Women's,Item #223016,5.0, $124.73
Osprey Aether Pro 70 Pack - Men's,Item #126710,4.0, $299.93
Gregory Zulu 40 Pack - Men's,Item #222462,4.5, $141.73
Osprey Kyte 46 Pack - Women's,Item #229027,4.5, $149.73
Mountain Summit Gear Northwood Series II 2-Person Backpacking Tent,Item #171981,3.9, $106.73
Gregory Jade 28 Pack - Women's,Item #222459,4.6, $119.73
GSI Outdoors MicroLite 500 Flip Vacuum Water Bottle - 17 fl. oz. - Brushed Stainless,Item #232073,0.0, $19.73
Leki Civetta Pro Trekking Poles - Pair,Item #227467,5.0, $104.73
Zempire 2-Burner Deluxe & Grill High-Pressure Camping Stove,Item #205323,4.5, $138.73
Big Agnes Sunbeam 15 Sleeping Bag - Women's,Item #223011,3.8, $139.73
Kinco Lined Heavy-Duty Premium Grain and Suede Pigskin Mittens with Knit Wrists,Item #189513,4.2, $47.73
ALPS Mountaineering Zenith 30 Sleeping Bag - 2022,Item #213442,4.5, $125.73
Hydro Flask Wide-Mouth Vacuum Water Bottle - 20 fl. oz.,Item #207806,5.0, $23.73
Komperdell Carbon Trailstick C4 Vario Trekking Poles - Pair,Item #183194,2.9, $86.73
Rumpl Nanoloft Puffy Blanket,Item #234439,0.0, $124.73
Marmot Lozen 30 Sleeping Bag - Women's,Item #224006,3.8, $137.73
Alpine Mountain Gear Weekender Tent 4,Item #189281,3.9, $93.73
ALPS Mountaineering Outback Mat - XL,Item #213450,4.8, $148.73
Gregory Jade 38 Pack - Women's,Item #222460,4.7, $141.73
Zempire Trilogy Tent,Item #205299,4.4, $235.73
ALPS Mountaineering Rendezvous Chair - Salsa/Charcoal,Item #213467,5.0, $44.73
Osprey Skarab 22 Hydration Pack - Men's,Item #229033,4.5, $89.73
"Big Agnes Hinman Self-Inflating Sleeping Pad - 78 x 50 x 4""",Item #232446,4.2, $184.73
Klymit Cross Canyon 3 Tent,Item #229019,4.5, $179.73
Grayl GeoPress Water Filter and Purifier Bottle - 24 fl. oz. - Generation 1 - Discontinued,Item #232613,4.0, $79.73
Gregory Jade 63 Pack - Women's,Item #227815,5.0, $186.73
Ledlenser Kidled4R Headlamp,Item #234512,0.0, $13.73
Klymit Wild Aspen 20 Sleeping Bag,Item #229024,0.0, $79.73
Zempire Zeus 2-Person Tent,Item #205300,4.3, $196.73
Gregory Zulu 30 Pack - Men's,Item #222458,4.7, $119.73
Black Diamond Ion Keychain Light,Item #231797,1.0, $14.73
Osprey Hydrajet 12 Hydration Pack - Kids',Item #229041,0.0, $54.73
Klymit Klymaloft Sleeping Pad - Double,Item #229015,4.7, $189.73
Mountainsmith Lichen Peak 2P Tent with Footprint,Item #174088,4.0, $108.73
Osprey Skimmer 16 Hydration Pack - Women's,Item #229039,0.0, $74.73
ALPS Mountaineering Infinity Down Quilt,Item #193057,4.6, $149.73
Rumpl Flannel Sherpa Fleece Blanket,Item #234446,5.0, $114.73
Gregory Baltoro 75 Pack - Men's,Item #222451,4.5, $247.73
ALPS Mountaineering Wavelength Blanket,Item #151569,4.4, $59.73
Osprey Skarab 18 Hydration Pack - Men's,Item #229038,0.0, $74.73
Gregory Zulu 65 Pack - Men's,Item #227817,4.0, $186.73
Osprey IsoForm5 Pack Harness Shoulder Straps - Men's,Item #111307,0.0, $11.83
ALPS Mountaineering Zenith 30 Sleeping Bag - 2022 - Long,Item #213443,0.0, $123.73
Klymit Double V Sleeping Pad,Item #228759,3.8, $104.73
Mountain Summit Gear Northwood Series II 1-Person Backpacking Tent,Item #171850,4.1, $93.73
ALPS Mountaineering Camp Table,Item #163085,3.5, $63.73
MPOWERD Luci Candle Lantern,Item #147499,0.0, $14.73
Big Agnes Big Six Armchair,Item #232450,2.5, $184.73
Marmot Lozen 30 Sleeping Bag - Women's Long,Item #224007,0.0, $124.73
Sea to Summit Thermolite Reactor Compact Plus Sleeping Bag Liner,Item #797113,4.4, $51.93
NEMO Disco 30 Sleeping Bag - Women's,Item #233417,0.0, $224.73
Big Agnes Seedhouse SL1 Footprint,Item #232420,0.0, $36.73
